bron,titel,datum,indieners,uitslag,voor,tegen,unaniem
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=61/Ingetrokken_actuele_motie_AcM3_Herindicatie_inwoners_met_een_langedurige_zorgvraag__PvdA__CU__OAE__D66_.pdf,"Ingetrokken actuele motie AcM3 Herindicatie inwoners met een langedurige zorgvraag (PvdA, CU, OAE, D66)",02-10-2018,"['CU', 'D66', 'OAE', 'PvdA']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=62/Ingetrokken_actuele_motie_AcM4_Schoner_en_stiller__CDA__GL__PvdA__VVD__OAE__CU__50PLUS_.pdf,"Ingetrokken actuele motie AcM4 Schoner en stiller (CDA, GL, PvdA, VVD, OAE, CU, 50PLUS)",02-10-2018,"['50PLUS', 'CDA', 'CU', 'GL', 'OAE', 'PvdA', 'VVD']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=63/Ingetrokken_actuele_motie_AcM5_Tijdelijke_Doorzetting_Verlaatjes__GL__VVD__D66__CDA__LPF__LE__50PLUS__DENK__OAE_.pdf,"Ingetrokken actuele motie AcM5 Tijdelijke Doorzetting Verlaatjes (GL, VVD, D66, CDA, LPF, LE, 50PLUS, DENK, OAE)",02-10-2018,"['50PLUS', 'CDA', 'D66', 'DENK', 'GL', 'LE', 'LPF', 'OAE', 'VVD']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=64/Verworpen_actuele_motie_AcM6_indicaties_hh__SP__D66__DENK__OAE_.pdf,"Verworpen actuele motie AcM6 indicaties hh (SP, D66, DENK, OAE)",02-10-2018,"['D66', 'DENK', 'OAE', 'SP']",,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=65/Ingetrokken_actuele_motie_AcM7_Terugbetalen_Eigen_Bijdrage__SP__OAE_.pdf,"Ingetrokken actuele motie AcM7 Terugbetalen Eigen Bijdrage (SP, OAE)",02-10-2018,"['OAE', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=66/Verworpen_actuele_motie_AcM8_Oude_indicatie_na_bezwaar__SP__D66__OAE__DENK_.pdf,"Verworpen actuele motie AcM8 Oude indicatie na bezwaar (SP, D66, OAE, DENK)",02-10-2018,"['D66', 'DENK', 'OAE', 'SP']",Verworpen,"['D66:6', 'OAE:2', 'DENK:1', 'SP:4']","['GL:7', 'PvdA:6', 'CDA:6', 'LPF:1', '50PLUS:2', 'LE:1', 'CU:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=67/Aangehouden_actuele_motie_AcM9A_Den_Haag_stuur_extra_agenten_naar_Eindhoven__D66__CDA__CU__D66__PvdA__SP__DENK__OAE__LPF__LE__50PLUS_.pdf,"Aangehouden actuele motie AcM9A Den Haag stuur extra agenten naar Eindhoven (D66, CDA, CU, D66, PvdA, SP, DENK, OAE, LPF, LE, 50PLUS)",02-10-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'LE', 'LPF', 'OAE', 'PvdA', 'SP']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=68/Toezegging_wethouder_List_inzake_RV_zienswijze_brief_op_concept_regioprofiel_cultuur_BrabantStad.pdf,Toezegging wethouder List inzake RV zienswijze brief op concept regioprofiel cultuur BrabantStad,02-10-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=69/Ingetrokken_actuele_motie_AcM1_RyanAir_moet_zich_aan_de_regels_houden__CU__GL__D66__CDA__DENK_.pdf,"Ingetrokken actuele motie AcM1 RyanAir moet zich aan de regels houden (CU, GL, D66, CDA, DENK)",27-11-2018,"['CDA', 'CU', 'D66', 'DENK', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=70/Ingetrokken_actuele_motie_AcM2_Charter_diversiteit__GL__CDA__PvdA__VVD_.pdf,"Ingetrokken actuele motie AcM2 Charter diversiteit (GL, CDA, PvdA, VVD)",27-11-2018,"['CDA', 'GL', 'PvdA', 'VVD']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=71/Aangehouden_actuele_motie_AcM3_Vuurwerkpret_voor_allen__GL__50PLUS__OAE__PvdA__D66__CU__DENK__CDA_.pdf,"Aangehouden actuele motie AcM3 Vuurwerkpret voor allen (GL, 50PLUS, OAE, PvdA, D66, CU, DENK, CDA)",27-11-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'OAE', 'PvdA']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=72/Verworpen_actuele_motie_AcM4_Sinterklaasoptocht__OAE_.pdf,Verworpen actuele motie AcM4 Sinterklaasoptocht (OAE),27-11-2018,['OAE'],Verworpen,"['LPF:2', 'OAE:2']","['GL:7', 'PvdA:5', 'CDA:5', 'D66:6', '50PLUS:2', 'LE:1', 'CU:1', 'DENK:1', 'VVD:7', 'SP:4']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=73/Niet_behandeld_actuele_motie_AcM5_AEDs_en_EHBO_materialen_voor_Stadstoezicht__LPF__OAE_.pdf,"Niet behandeld actuele motie AcM5 AEDs en EHBO materialen voor Stadstoezicht (LPF, OAE)",27-11-2018,"['LPF', 'OAE']",(niet gebruiken),[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=74/Aangehouden_actuele_motie_AcM6_Subsidiebepaling_2019__50PLUS__D66_.pdf,"Aangehouden actuele motie AcM6 Subsidiebepaling 2019 (50PLUS, D66)",27-11-2018,"['50PLUS', 'D66']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=75/Verworpen_actuele_motie_AcM7_alternatief_voor_Zwarte_Piet__DENK__D66_.pdf,"Verworpen actuele motie AcM7 alternatief voor Zwarte Piet (DENK, D66)",27-11-2018,"['D66', 'DENK']",Verworpen,"['D66:6', 'DENK:1']","['GL:7', 'PvdA:5', 'CDA:5', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'OAE:2', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=76/Niet_behandeld_actuele_motie_AcM8_Hartveilig_Eindhoven__CDA__D66__CU__DENK__50PLUS_.pdf,"Niet behandeld actuele motie AcM8 Hartveilig Eindhoven (CDA, D66, CU, DENK, 50PLUS)",27-11-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK']",,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=77/Niet_behandeld_actuele_motie_AcM9_Reanimatieonderwijs_op_Eindhovense_middelbare_scholen__CDA__50PLUS__DENK_.pdf,"Niet behandeld actuele motie AcM9 Reanimatieonderwijs op Eindhovense middelbare scholen (CDA, 50PLUS, DENK)",27-11-2018,"['50PLUS', 'CDA', 'DENK', 'VVD']",,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=78/Aangenomen_actuele_motie_AcM10A_Racisme_en_geweld_zijn_nooit_acceptabel__GL__D66__SP__PvdA__CU__CDA__DENK__50PLUS__VVD__LE_.pdf,"Aangenomen actuele motie AcM10A Racisme en geweld zijn nooit acceptabel (GL, D66, SP, PvdA, CU, CDA, DENK, 50PLUS, VVD, LE)",27-11-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'LE', 'PvdA', 'SP', 'VVD']",Aangenomen,"['GL:7', 'PvdA:5', 'CDA:5', 'D66:6', '50PLUS:2', 'LE:1', 'CU:1', 'DENK:1', 'VVD:7', 'SP:4']","['LPF:2', 'OAE:2']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=79/Ingetrokken_actuele_motie_AcM11_Zeker_zijn_van_een_warm_bed__PvdA__SP__D66__50PLUS__CU__DENK_.pdf,"Ingetrokken actuele motie AcM11 Zeker zijn van een warm bed (PvdA, SP, D66, 50PLUS, CU, DENK)",27-11-2018,"['50PLUS', 'CU', 'D66', 'DENK', 'PvdA', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=80/Toezegging_wethouder_List_RV_2e_tussentijdse_rapportage_2018__amendement_A2A_bezoekers_van_Eindhoven_zijn_ook_op_zondag_welkom_.pdf,Toezegging wethouder List RV 2e tussentijdse rapportage 2018 (amendement A2A bezoekers van Eindhoven zijn ook op zondag welkom),27-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=81/Toezegging_wethouder_Oosterveer_RV_2e_tussentijdse_rapportage_2018__Bezwaar_en_beroepsprocedures_.pdf,Toezegging wethouder Oosterveer RV 2e tussentijdse rapportage 2018 (Bezwaar en beroepsprocedures),27-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=82/Ingetrokken_motie_B.M04_P+R_en_station_bij_Acht__D66__CU__GL_.pdf,"Ingetrokken motie B.M04 P+R en station bij Acht (D66, CU, GL)",06-11-2018,"['CU', 'D66', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=83/Ingetrokken_motie_B.M05_voor_gratis_openbaar_vervoer_voor_minima__SP__LPF__50PLUS_.pdf,"Ingetrokken motie B.M05 voor gratis openbaar vervoer voor minima (SP, LPF, 50PLUS)",06-11-2018,"['50PLUS', 'LPF', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=84/Ingetrokken_motie_B.M06A_monitoren_en_repareren__SP__D66_.pdf,"Ingetrokken motie B.M06A monitoren en repareren (SP, D66)",06-11-2018,"['D66', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=85/Aangenomen_motie_B.M07_Eerlijke_verdeling_van_de_welvaart__PvdA_.pdf,Aangenomen motie B.M07 Eerlijke verdeling van de welvaart (PvdA),06-11-2018,['PvdA'],Aangenomen,"['GL:7', 'PvdA:6', 'D66:5', '50PLUS:2', 'LE:1', 'DENK:1', 'SP:4']","['CDA:6', 'LPF:2', 'CU:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=86/Ingetrokken_motie_B.M08_Geef_de_regio_een_stem__D66_.pdf,Ingetrokken motie B.M08 Geef de regio een stem (D66),06-11-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=87/Ingetrokken_motie_B.M09_Campagne_voor_meer_pleeggezinnen__D66_.pdf,Ingetrokken motie B.M09 Campagne voor meer pleeggezinnen (D66),06-11-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=88/Ingetrokken_motie_B.M10_Effectieve_voorlichting_voor_een_hoge_vaccinatiegraad__D66_.pdf,Ingetrokken motie B.M10 Effectieve voorlichting voor een hoge vaccinatiegraad (D66),06-11-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=89/Ingetrokken_motie_B.M11_Drempelvrije_stad__D66__50PLUS__CDA_.pdf,"Ingetrokken motie B.M11 Drempelvrije stad (D66, 50PLUS, CDA)",06-11-2018,"['50PLUS', 'CDA', 'D66']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=90/Ingetrokken_motie_B.M12_Duurzame_woningvoorraad__D66_.pdf,Ingetrokken motie B.M12 Duurzame woningvoorraad (D66),06-11-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=91/Ingetrokken_motie_B.M13_Het_voortouw_in_de_Omgevingswet__D66_.pdf,Ingetrokken motie B.M13 Het voortouw in de Omgevingswet (D66),06-11-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=92/Aangenomen_motie_B.M14A_Dividend_uitkering_Eindhoven_Airport__GL__PvdA_.pdf,"Aangenomen motie B.M14A Dividend uitkering Eindhoven Airport (GL, PvdA)",06-11-2018,"['GL', 'PvdA']",Aangenomen,['vul handmatig in:-1'],['vul handmatig in:-1'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=93/Aangehouden_motie_B.M15_Dividend_uitkering_Eindhoven_Airport_QuickSan_juridische_stappen__GL__PvdA_.pdf,"Aangehouden motie B.M15 Dividend uitkering Eindhoven Airport QuickSan juridische stappen (GL, PvdA)",06-11-2018,"['GL', 'PvdA']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=94/Ingetrokken_motie_B.M16_Help_werkende_armen_aan_beter_werk__GL_.pdf,Ingetrokken motie B.M16 Help werkende armen aan beter werk (GL),06-11-2018,['GL'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=95/Ingetrokken_motie_B.M17_Huurteam_voor_Eindhovense_studenten__GL__PvdA__D66_.pdf,"Ingetrokken motie B.M17 Huurteam voor Eindhovense studenten (GL, PvdA, D66)",06-11-2018,"['D66', 'GL', 'PvdA']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=96/Ingetrokken_motie_B.M18_Ondermijning__CDA__LPF_.pdf,"Ingetrokken motie B.M18 Ondermijning (CDA, LPF)",06-11-2018,"['CDA', 'LPF']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=97/Ingetrokken_motie_B.M19_Behoud_avondopenstellingen_Inwonersplein__CDA__LPF_.pdf,"Ingetrokken motie B.M19 Behoud avondopenstellingen Inwonersplein (CDA, LPF)",06-11-2018,"['CDA', 'LPF']",Ingetrokken,[],[],nee
